Estado; Total_recebido ;Total_utilizado
Acre;22,463,131.19;23,955,216.21
Alagoas;43,943,300.33;47,216,946.38
Amapa;22,697,846.23;23,901,250.00
Amazonas;51,714,200.41;54,715,957.80
Bahia;147,863,976.76;159,523,789.78
Ceara;95,447,562.86;103,752,905.41
Distrito Federal;26,049,643.67;25,437,482.07
Espirito Santo;40,760,549.57;43,641,173.48
Goias;68,579,249.90;72,520,585.36
Maranhao;81,466,999.57;90,634,681.32
Mato Grosso;36,006,534.91;35,609,856.98
Mato Grosso do Sul;27,199,344.33;29,991,007.60
Minas Gerais;182,397,750.56;196,200,708.76
Parana;98,499,446.70;108,037,196.94
Paraiba;48,677,436.90;51,002,010.89
Para;91,735,347.63;94,430,011.26
Pernambuco;100,158,734.16;103,871,828.66
Piaui;42,268,211.53;45,517,117.90
Rio Grande do Norte;39,783,840.08;43,011,946.32
Rio Grande do Sul;91,491,111.38;97,831,656.85
Rio de Janeiro;138,991,498.96;141,429,325.63
Rondonia;27,563,051.32;6,937,090.68
Roraima;19,401,177.57;21,285,609.03
Santa Catarina;60,192,685.29;63,459,980.65
Sergipe;32,759,672.12;35,672,499.52
Sao Paulo;357,575,060.50;381,177,971.75
Tocantins;25,681,441.21;27,564,450.00
